# Định dạng: ID | Tâm (Center_X, Center_Y) | Khung (BBox [x, y, w, h])
# Tất cả giá trị đều là tỉ lệ (0.0 - 1.0) so với kích thước thật của ảnh.
ID: 59 | Center: 0.5583, 0.9240 | BBox: [0.5495, 0.9166, 0.0177, 0.0148]
ID: 60 | Center: 0.5802, 0.9231 | BBox: [0.5714, 0.9147, 0.0177, 0.0167]
ID: 61 | Center: 0.0484, 0.9323 | BBox: [0.0370, 0.9240, 0.0229, 0.0167]
ID: 62 | Center: 0.2656, 0.9398 | BBox: [0.2250, 0.9286, 0.0813, 0.0222]
ID: 63 | Center: 0.8807, 0.9314 | BBox: [0.8693, 0.9222, 0.0229, 0.0185]
ID: 64 | Center: 0.0516, 0.9518 | BBox: [0.0380, 0.9444, 0.0271, 0.0148]
ID: 65 | Center: 0.9375, 0.9611 | BBox: [0.9203, 0.9518, 0.0344, 0.0185]
ID: 66 | Center: 0.1120, 0.9768 | BBox: [0.0646, 0.9639, 0.0948, 0.0259]
ID: 67 | Center: 0.9380, 0.9852 | BBox: [0.9172, 0.9759, 0.0417, 0.0185]
ID: 68 | Center: 0.2620, 0.3411 | BBox: [0.2521, 0.3272, 0.0198, 0.0278]
ID: 69 | Center: 0.3823, 0.3411 | BBox: [0.3719, 0.3272, 0.0208, 0.0278]
ID: 70 | Center: 0.7680, 0.1112 | BBox: [0.7468, 0.0684, 0.0425, 0.0856]
ID: 71 | Center: 0.5039, 0.1104 | BBox: [0.4859, 0.0646, 0.0360, 0.0916]
ID: 72 | Center: 0.2453, 0.1102 | BBox: [0.2265, 0.0681, 0.0375, 0.0842]
ID: 73 | Center: 0.2216, 0.2178 | BBox: [0.1861, 0.1934, 0.0710, 0.0487]
ID: 74 | Center: 0.4150, 0.0791 | BBox: [0.3865, 0.0631, 0.0572, 0.0320]
ID: 75 | Center: 0.4653, 0.1105 | BBox: [0.4481, 0.0653, 0.0345, 0.0902]
ID: 76 | Center: 0.7275, 0.1119 | BBox: [0.7128, 0.0699, 0.0293, 0.0839]
ID: 77 | Center: 0.5007, 0.2677 | BBox: [0.4632, 0.2477, 0.0750, 0.0399]
ID: 78 | Center: 0.5348, 0.1105 | BBox: [0.5201, 0.0647, 0.0293, 0.0916]
ID: 79 | Center: 0.3952, 0.2680 | BBox: [0.3463, 0.2510, 0.0980, 0.0340]
ID: 80 | Center: 0.3586, 0.2176 | BBox: [0.3294, 0.1933, 0.0583, 0.0485]
ID: 81 | Center: 0.6507, 0.2676 | BBox: [0.5973, 0.2476, 0.1067, 0.0399]
ID: 82 | Center: 0.1369, 0.1369 | BBox: [0.1087, 0.1219, 0.0564, 0.0300]
ID: 83 | Center: 0.1369, 0.1085 | BBox: [0.1094, 0.0925, 0.0550, 0.0320]
ID: 84 | Center: 0.0944, 0.1237 | BBox: [0.0792, 0.0949, 0.0304, 0.0577]
ID: 85 | Center: 0.2733, 0.2175 | BBox: [0.2561, 0.1935, 0.0343, 0.0481]
ID: 86 | Center: 0.0188, 0.1196 | BBox: [0.0040, 0.0885, 0.0296, 0.0622]
ID: 87 | Center: 0.4894, 0.5452 | BBox: [0.4607, 0.5261, 0.0575, 0.0383]
ID: 88 | Center: 0.3104, 0.2177 | BBox: [0.2897, 0.1936, 0.0414, 0.0481]
ID: 89 | Center: 0.7251, 0.9728 | BBox: [0.6936, 0.9471, 0.0630, 0.0515]
ID: 90 | Center: 0.1526, 0.5167 | BBox: [0.1190, 0.4967, 0.0673, 0.0399]
ID: 91 | Center: 0.6319, 0.3196 | BBox: [0.6174, 0.3068, 0.0291, 0.0256]
ID: 92 | Center: 0.6375, 0.4684 | BBox: [0.5996, 0.4523, 0.0757, 0.0322]
ID: 93 | Center: 0.5902, 0.3200 | BBox: [0.5771, 0.3069, 0.0262, 0.0262]
